dish_name,restaurant,price,cuisine,description,food_type,latitude,longitude,rating
Salmon Nigiri,Tei‑An,6.94,Japanese,Fresh salmon over rice,sushi,32.792057,-96.79550470000001,4.59
Matcha Ice Cream,Tei‑An,6.04,Japanese,Green tea ice cream,dessert,32.792057,-96.79550470000001,3.95
Miso Soup,Tei‑An,9.95,Japanese,"Dashi, tofu, wakame",soup,32.792057,-96.79550470000001,3.86
Spicy Tuna Roll,Sushi Sake,8.3,Japanese,"Tuna, chili mayo",sushi,32.978199,-96.71737999999999,3.53
Hamachi Crudo,Sushi Sake,6.57,Japanese,"Yellowtail, yuzu, chili",appetizer,32.978199,-96.71737999999999,4.65
Miso Soup,Sushi Sake,6.67,Japanese,"Dashi, tofu, wakame",soup,32.978199,-96.71737999999999,4.03
Spicy Tuna Roll,Oishii,7.92,Japanese,"Tuna, chili mayo",sushi,32.8103797,-96.8198431,4.16
Miso Soup,Oishii,10.65,Japanese,"Dashi, tofu, wakame",soup,32.8103797,-96.8198431,4.59
Matcha Ice Cream,Oishii,7.14,Japanese,Green tea ice cream,dessert,32.8103797,-96.8198431,3.62
Salmon Nigiri,Oishii,4.48,Japanese,Fresh salmon over rice,sushi,32.8103797,-96.8198431,4.94
Tonkotsu Ramen,Oishii,15.02,Japanese,"Pork broth, noodles, egg",noodle,32.8103797,-96.8198431,3.97
Hamachi Crudo,Oishii,9.39,Japanese,"Yellowtail, yuzu, chili",appetizer,32.8103797,-96.8198431,4.6
Matcha Ice Cream,Nobu Dallas,10.8,Japanese,Green tea ice cream,dessert,32.7941945,-96.80399349999999,4.84
Hamachi Crudo,Nobu Dallas,6.87,Japanese,"Yellowtail, yuzu, chili",appetizer,32.7941945,-96.80399349999999,4.25
Miso Soup,Nobu Dallas,6.34,Japanese,"Dashi, tofu, wakame",soup,32.7941945,-96.80399349999999,4.54
Tonkotsu Ramen,Nobu Dallas,15.75,Japanese,"Pork broth, noodles, egg",noodle,32.7941945,-96.80399349999999,4.84
Spicy Tuna Roll,Nobu Dallas,4.7,Japanese,"Tuna, chili mayo",sushi,32.7941945,-96.80399349999999,4.07
Salmon Nigiri,Nobu Dallas,4.92,Japanese,Fresh salmon over rice,sushi,32.7941945,-96.80399349999999,3.78
Scallion Pancake,Royal China,8.92,Chinese,Crispy layered bread,appetizer,32.8960769,-96.8021275,4.92
Mapo Tofu,Royal China,40.26,Chinese,"Tofu, chili bean sauce",entree,32.8960769,-96.8021275,4.41
Soup Dumplings (XLB),Royal China,13.78,Chinese,Pork-filled steamed dumplings,appetizer,32.8960769,-96.8021275,3.87
Hot & Sour Soup,Royal China,5.28,Chinese,Classic Chinese soup,soup,32.8960769,-96.8021275,4.63
Mapo Tofu,Monkey King Noodle Co.,36.28,Chinese,"Tofu, chili bean sauce",entree,32.7845357,-96.7808025,4.6
Hot & Sour Soup,Monkey King Noodle Co.,11.19,Chinese,Classic Chinese soup,soup,32.7845357,-96.7808025,4.41
Kung Pao Chicken,Monkey King Noodle Co.,26.57,Chinese,"Chiles, peanuts",entree,32.7845357,-96.7808025,3.5
Soup Dumplings (XLB),Monkey King Noodle Co.,10.97,Chinese,Pork-filled steamed dumplings,appetizer,32.7845357,-96.7808025,4.68
Scallion Pancake,Monkey King Noodle Co.,7.24,Chinese,Crispy layered bread,appetizer,32.7845357,-96.7808025,4.11
Bánh Mì Thịt,Mai's Vietnamese Restaurant,11.43,Vietnamese,Pork sandwich,sandwich,32.8033743,-96.7737088,4.55
Phở Tái,Mai's Vietnamese Restaurant,18.47,Vietnamese,Beef noodle soup,noodle,32.8033743,-96.7737088,4.26
Cà Phê Sữa Đá,Mai's Vietnamese Restaurant,6.13,Vietnamese,Iced coffee w/ milk,beverage,32.8033743,-96.7737088,4.94
Gỏi Cuốn (Spring Rolls),Mai's Vietnamese Restaurant,9.29,Vietnamese,"Shrimp, herbs, peanut sauce",appetizer,32.8033743,-96.7737088,4.8
Three Cup Chicken,Jeng Chi,36.47,Taiwanese & Chinese,"Soy, rice wine, basil",entree,32.9533808,-96.72770679999999,4.06
Beef Noodle Soup,Jeng Chi,12.76,Taiwanese & Chinese,"Rich broth, noodles",noodle,32.9533808,-96.72770679999999,3.64
Laab,Khao Noodle Shop (Legacy),10.8,Lao,Herb‑lime minced meat salad,salad,32.8032915,-96.7738131,3.71
Khao Soi Lao,Khao Noodle Shop (Legacy),18.43,Lao,Curry noodle soup,noodle,32.8032915,-96.7738131,3.53
Kung Pao Chicken,Sichuan King,26.36,Chinese,"Chiles, peanuts",entree,32.9531441,-96.7276574,4.38
Mapo Tofu,Sichuan King,23.24,Chinese,"Tofu, chili bean sauce",entree,32.9531441,-96.7276574,3.61
Soup Dumplings (XLB),Sichuan King,6.56,Chinese,Pork-filled steamed dumplings,appetizer,32.9531441,-96.7276574,4.97
Hot & Sour Soup,Sichuan King,10.41,Chinese,Classic Chinese soup,soup,32.9531441,-96.7276574,4.97
Scallion Pancake,Sichuan King,8.81,Chinese,Crispy layered bread,appetizer,32.9531441,-96.7276574,3.93
LA Galbi,Korea House,16.15,Korean,Grilled short ribs,entree,32.8954716,-96.89195649999999,4.64
Kimchi Jjigae,Korea House,7.46,Korean,Kimchi stew,soup,32.8954716,-96.89195649999999,4.18
Bibimbap,Korea House,35.59,Korean,Rice bowl with toppings,entree,32.8954716,-96.89195649999999,3.76
Pickled Radish,bb.q Chicken - Dallas,5.32,Korean Fried Chicken,Crunchy side,side,32.8124886,-96.7704182,3.95
Soy Garlic Wings,bb.q Chicken - Dallas,27.33,Korean Fried Chicken,Double-fried wings,entree,32.8124886,-96.7704182,4.41
Spicy Hot Wings,bb.q Chicken - Dallas,16.75,Korean Fried Chicken,Gochujang glaze,entree,32.8124886,-96.7704182,3.86
Tomato Basil Soup,LA Burger - Carrollton/Dallas,10.88,Korean‑American,Comfort soup,soup,32.9848253,-96.90831899999999,4.04
House Salad,LA Burger - Carrollton/Dallas,17.28,Korean‑American,"Greens, vinaigrette",salad,32.9848253,-96.90831899999999,5.0
Grilled Salmon,LA Burger - Carrollton/Dallas,41.5,Korean‑American,Lemon herb butter,entree,32.9848253,-96.90831899999999,4.78
Spicy Tuna Roll,Sushi Robata,6.27,Japanese,"Tuna, chili mayo",sushi,32.9992369,-96.82630170000002,3.52
Hamachi Crudo,Sushi Robata,8.7,Japanese,"Yellowtail, yuzu, chili",appetizer,32.9992369,-96.82630170000002,4.24
Salmon Nigiri,Sushi Robata,8.4,Japanese,Fresh salmon over rice,sushi,32.9992369,-96.82630170000002,3.74
Matcha Ice Cream,Sushi Robata,7.67,Japanese,Green tea ice cream,dessert,32.9992369,-96.82630170000002,3.53
Tonkotsu Ramen,Sushi Robata,18.66,Japanese,"Pork broth, noodles, egg",noodle,32.9992369,-96.82630170000002,4.48
Miso Soup,Sushi Robata,7.95,Japanese,"Dashi, tofu, wakame",soup,32.9992369,-96.82630170000002,3.77
Tonkotsu Ramen,Tei Tei Robata,19.0,Japanese,"Pork broth, noodles, egg",noodle,32.8203388,-96.7846113,4.57
Hamachi Crudo,Tei Tei Robata,8.8,Japanese,"Yellowtail, yuzu, chili",appetizer,32.8203388,-96.7846113,4.31
Miso Soup,Tei Tei Robata,9.55,Japanese,"Dashi, tofu, wakame",soup,32.8203388,-96.7846113,4.68
Miso Soup,Kazy's Gourmet Shop,11.36,Japanese,"Dashi, tofu, wakame",soup,32.9134015,-96.7400991,4.64
Matcha Ice Cream,Kazy's Gourmet Shop,7.78,Japanese,Green tea ice cream,dessert,32.9134015,-96.7400991,4.26
Spicy Tuna Roll,Kazy's Gourmet Shop,6.94,Japanese,"Tuna, chili mayo",sushi,32.9134015,-96.7400991,4.35
Salmon Nigiri,Kazy's Gourmet Shop,6.14,Japanese,Fresh salmon over rice,sushi,32.9134015,-96.7400991,4.26
Tonkotsu Ramen,Kazy's Gourmet Shop,15.98,Japanese,"Pork broth, noodles, egg",noodle,32.9134015,-96.7400991,4.75
Hamachi Crudo,Kazy's Gourmet Shop,6.48,Japanese,"Yellowtail, yuzu, chili",appetizer,32.9134015,-96.7400991,4.13
Bánh Mì Thịt,Pho Pasteur - Dallas,12.12,Vietnamese,Pork sandwich,sandwich,32.9438259,-96.70146369999999,4.93
Gỏi Cuốn (Spring Rolls),Pho Pasteur - Dallas,6.65,Vietnamese,"Shrimp, herbs, peanut sauce",appetizer,32.9438259,-96.70146369999999,3.98
Phở Tái,Pho Pasteur - Dallas,13.68,Vietnamese,Beef noodle soup,noodle,32.9438259,-96.70146369999999,4.94
Bibimbap,Ddong Ggo - Dallas,34.19,Korean,Rice bowl with toppings,entree,32.985993,-96.9125435,4.3
Kimchi Jjigae,Ddong Ggo - Dallas,11.6,Korean,Kimchi stew,soup,32.985993,-96.9125435,3.56
LA Galbi,Ddong Ggo - Dallas,29.01,Korean,Grilled short ribs,entree,32.985993,-96.9125435,4.17
Chile Goat Burger,Rodeo Goat - Dallas,10.4,Burgers,"Green chile, queso",sandwich,32.7972031,-96.8239998,4.86
Classic Cheeseburger,Rodeo Goat - Dallas,17.99,Burgers,"Beef patty, cheese, lettuce, tomato",sandwich,32.7972031,-96.8239998,4.19
Milkshake,Rodeo Goat - Dallas,6.34,Burgers,Thick vanilla shake,beverage,32.7972031,-96.8239998,3.97
Truffle Fries,Rodeo Goat - Dallas,9.81,Burgers,"Crispy fries, truffle oil",side,32.7972031,-96.8239998,4.1
Chile Goat Burger,Keller's Drive-In,11.71,Burgers,"Green chile, queso",sandwich,32.8689598,-96.88208829999999,4.04
Milkshake,Keller's Drive-In,4.6,Burgers,Thick vanilla shake,beverage,32.8689598,-96.88208829999999,3.8
Truffle Fries,Keller's Drive-In,4.35,Burgers,"Crispy fries, truffle oil",side,32.8689598,-96.88208829999999,4.08
Classic Cheeseburger,Keller's Drive-In,13.03,Burgers,"Beef patty, cheese, lettuce, tomato",sandwich,32.8689598,-96.88208829999999,3.76
Truffle Fries,Off-Site Kitchen (Legacy),8.18,Burgers,"Crispy fries, truffle oil",side,32.7787503,-96.8292367,3.63
Chile Goat Burger,Off-Site Kitchen (Legacy),15.84,Burgers,"Green chile, queso",sandwich,32.7787503,-96.8292367,4.97
Milkshake,Off-Site Kitchen (Legacy),6.13,Burgers,Thick vanilla shake,beverage,32.7787503,-96.8292367,4.83
Classic Cheeseburger,Off-Site Kitchen (Legacy),15.29,Burgers,"Beef patty, cheese, lettuce, tomato",sandwich,32.7787503,-96.8292367,4.61
Chile Goat Burger,Hopdoddy - Dallas,17.75,Burgers,"Green chile, queso",sandwich,32.8042444,-96.79973009999999,4.34
Classic Cheeseburger,Hopdoddy - Dallas,14.63,Burgers,"Beef patty, cheese, lettuce, tomato",sandwich,32.8042444,-96.79973009999999,4.16
Milkshake,Hopdoddy - Dallas,5.17,Burgers,Thick vanilla shake,beverage,32.8042444,-96.79973009999999,4.57
Truffle Fries,Hopdoddy - Dallas,8.49,Burgers,"Crispy fries, truffle oil",side,32.8042444,-96.79973009999999,3.98
Classic Cheeseburger,Shake Shack - Dallas,14.02,Burgers,"Beef patty, cheese, lettuce, tomato",sandwich,32.7934617,-96.80312830000001,3.7
Truffle Fries,Shake Shack - Dallas,9.12,Burgers,"Crispy fries, truffle oil",side,32.7934617,-96.80312830000001,3.81
Chile Goat Burger,Shake Shack - Dallas,11.26,Burgers,"Green chile, queso",sandwich,32.7934617,-96.80312830000001,4.82
Filet Mignon 8oz,Town Hearth,17.77,Steakhouse,Center‑cut tenderloin,entree,32.7923379,-96.82214259999999,3.98
Prime Ribeye 14oz,Town Hearth,38.41,Steakhouse,"USDA Prime, grilled",entree,32.7923379,-96.82214259999999,4.42
Caesar Salad,Town Hearth,12.63,Steakhouse,"Romaine, parmesan, croutons",salad,32.7923379,-96.82214259999999,4.85
Crème Brûlée,Al Biernat's - Oak Lawn,8.52,Steakhouse,Vanilla custard,dessert,32.8203061,-96.8026735,4.75
Prime Ribeye 14oz,Al Biernat's - Oak Lawn,31.18,Steakhouse,"USDA Prime, grilled",entree,32.8203061,-96.8026735,4.57
Caesar Salad,Al Biernat's - Oak Lawn,13.71,Steakhouse,"Romaine, parmesan, croutons",salad,32.8203061,-96.8026735,4.75
Lobster Mac,Al Biernat's - Oak Lawn,9.61,Steakhouse,"Four-cheese, lobster",side,32.8203061,-96.8026735,3.7
Caesar Salad,Nick & Sam's,10.18,Steakhouse,"Romaine, parmesan, croutons",salad,32.7984933,-96.8074407,3.63
Filet Mignon 8oz,Nick & Sam's,32.78,Steakhouse,Center‑cut tenderloin,entree,32.7984933,-96.8074407,3.6
Lobster Mac,Nick & Sam's,6.74,Steakhouse,"Four-cheese, lobster",side,32.7984933,-96.8074407,4.54
Crème Brûlée,Nick & Sam's,11.57,Steakhouse,Vanilla custard,dessert,32.7984933,-96.8074407,4.5
Prime Ribeye 14oz,Knife Dallas,41.96,Steakhouse,"USDA Prime, grilled",entree,32.8359912,-96.7781674,4.7
Lobster Mac,Knife Dallas,9.98,Steakhouse,"Four-cheese, lobster",side,32.8359912,-96.7781674,4.7
Caesar Salad,Knife Dallas,9.66,Steakhouse,"Romaine, parmesan, croutons",salad,32.8359912,-96.7781674,4.36
Seasonal Soup,Fearing's Restaurant,11.53,New American,Chef’s selection,soup,32.792157,-96.803528,4.02
Heirloom Tomato Salad,Fearing's Restaurant,16.93,New American,"Basil, burrata",salad,32.792157,-96.803528,4.35
Roasted Chicken,Fearing's Restaurant,38.86,New American,"Herb jus, potatoes",entree,32.792157,-96.803528,4.02
Pie Slice,Maple Leaf Diner,10.67,Diner,Daily selection,dessert,32.923259,-96.80538,3.91
Chicken Fried Steak,Maple Leaf Diner,21.69,Diner,Cream gravy,entree,32.923259,-96.80538,3.93
Patty Melt,Maple Leaf Diner,16.43,Diner,Griddled burger on rye,sandwich,32.923259,-96.80538,4.67
Chicken & Waffles,Oddfellows,27.87,Brunch,"Fried chicken, waffle",entree,32.7488496,-96.8273722,3.52
Mimosa,Oddfellows,6.21,Brunch,Sparkling wine & OJ,beverage,32.7488496,-96.8273722,3.55
Avocado Benedict,Oddfellows,14.67,Brunch,"Poached eggs, hollandaise",breakfast,32.7488496,-96.8273722,3.65
Tomato Basil Soup,LA Burger - Carrollton/Dallas,10.88,Korean‑American,Comfort soup,soup,32.9848253,-96.90831899999999,4.04
House Salad,LA Burger - Carrollton/Dallas,17.28,Korean‑American,"Greens, vinaigrette",salad,32.9848253,-96.90831899999999,5.0
Grilled Salmon,LA Burger - Carrollton/Dallas,41.5,Korean‑American,Lemon herb butter,entree,32.9848253,-96.90831899999999,4.78
Tomato Basil Soup,Monarch Dallas,8.26,Italian Steakhouse,Comfort soup,soup,32.7814389,-96.8006905,3.68
Grilled Salmon,Monarch Dallas,22.66,Italian Steakhouse,Lemon herb butter,entree,32.7814389,-96.8006905,4.22
House Salad,Monarch Dallas,12.32,Italian Steakhouse,"Greens, vinaigrette",salad,32.7814389,-96.8006905,3.84
French Onion Soup,Beverley's Bistro & Bar,9.14,Bistro,Gruyère gratinée,soup,32.8165587,-96.79336579999999,4.86
Steak Frites,Beverley's Bistro & Bar,37.59,Bistro,"Grilled steak, fries",entree,32.8165587,-96.79336579999999,4.08
Crème Caramel,Beverley's Bistro & Bar,7.46,Bistro,Custard dessert,dessert,32.8165587,-96.79336579999999,4.81
Grilled Salmon,Smoky Rose,38.09,Barbecue & American,Lemon herb butter,entree,32.8230587,-96.7143949,4.3
House Salad,Smoky Rose,16.4,Barbecue & American,"Greens, vinaigrette",salad,32.8230587,-96.7143949,4.6
Tomato Basil Soup,Smoky Rose,5.74,Barbecue & American,Comfort soup,soup,32.8230587,-96.7143949,4.18
Tomato Basil Soup,HG Sply Co.,8.05,American,Comfort soup,soup,32.7273918,-97.35942829999999,3.52
House Salad,HG Sply Co.,15.6,American,"Greens, vinaigrette",salad,32.7273918,-97.35942829999999,4.01
Grilled Salmon,HG Sply Co.,41.1,American,Lemon herb butter,entree,32.7273918,-97.35942829999999,4.76
Tomato Basil Soup,The Henry - Dallas,8.05,American,Comfort soup,soup,32.7892021,-96.8055857,3.6
House Salad,The Henry - Dallas,15.58,American,"Greens, vinaigrette",salad,32.7892021,-96.8055857,4.11
Grilled Salmon,The Henry - Dallas,22.98,American,Lemon herb butter,entree,32.7892021,-96.8055857,3.54
Grilled Salmon,Lyfe Kitchen (Legacy),22.34,American,Lemon herb butter,entree,33.0263903,-96.793858,4.94
House Salad,Lyfe Kitchen (Legacy),13.18,American,"Greens, vinaigrette",salad,33.0263903,-96.793858,4.99
Tomato Basil Soup,Lyfe Kitchen (Legacy),9.27,American,Comfort soup,soup,33.0263903,-96.793858,3.59
Grilled Salmon,True Food Kitchen - Dallas,18.97,American,Lemon herb butter,entree,32.8640947,-96.8033337,4.89
House Salad,True Food Kitchen - Dallas,9.59,American,"Greens, vinaigrette",salad,32.8640947,-96.8033337,3.98
Tomato Basil Soup,True Food Kitchen - Dallas,8.44,American,Comfort soup,soup,32.8640947,-96.8033337,4.23
